Personnel No.,Total Working Days,Annual Leave Days,Unapproved Absence Days,Approved Absence Days,Absence Rate (%)
622080458,6,0,0,0,0.00%
622090015,6,0,0,0,0.00%
622120016,6,0,0,0,0.00%
622120018,6,0,0,0,0.00%
623010008,6,0,0,0,0.00%
623020021,6,0,0,0,0.00%
623030007,6,1,0,0,0.00%
623030244,6,0,0,0,0.00%
623040186,6,0,0,0,0.00%
623040397,6,0,0,0,0.00%
623050008,6,2,0,0,0.00%
623050010,6,0,0,0,0.00%
623050027,6,0,0,0,0.00%
623060088,6,0,0,0,0.00%
623060090,6,1,0,0,0.00%
623060116,6,1,0,1,20.00%
623070012,6,0,0,0,0.00%
623080377,6,0,0,0,0.00%
623080378,6,0,0,0,0.00%
623080380,6,0,0,0,0.00%
623080417,6,0,0,0,0.00%
623080447,6,0,0,0,0.00%
623080455,6,0,0,0,0.00%
623080456,2,0,1,0,50.00%
623080475,6,0,0,0,0.00%
623090019,6,0,0,0,0.00%
623090021,6,1,0,0,0.00%
623090032,6,0,0,0,0.00%
623090063,6,0,0,0,0.00%
623090111,6,0,0,0,0.00%
623090139,6,0,0,0,0.00%
623090163,6,0,0,0,0.00%
623090194,6,0,0,0,0.00%
623090198,6,1,0,0,0.00%
623090218,6,1,0,0,0.00%
623090224,6,0,0,0,0.00%
623090227,6,0,0,0,0.00%
623090280,6,0,0,0,0.00%
623090325,6,0,0,0,0.00%
623090362,6,1,0,0,0.00%
623100170,6,0,0,0,0.00%
623100186,6,0,0,0,0.00%
623100187,6,0,0,0,0.00%
623100203,6,0,0,0,0.00%
623100209,6,0,0,0,0.00%
623100210,6,1,0,0,0.00%
623100234,6,0,0,0,0.00%
623110084,6,0,0,1,16.67%
623110209,6,0,0,0,0.00%
623110211,6,0,0,1,16.67%
623110219,6,0,0,0,0.00%
623110220,6,1,0,0,0.00%
623110235,6,0,0,0,0.00%
623110250,6,0,0,0,0.00%
623120027,6,0,0,2,33.33%
623120136,6,0,0,0,0.00%
624020006,6,0,0,0,0.00%
624020037,6,0,0,0,0.00%
624020044,6,0,0,0,0.00%
624020085,6,1,0,0,0.00%
624020086,6,0,0,0,0.00%
624020087,6,0,0,0,0.00%
624020107,6,1,0,0,0.00%
624020152,6,0,0,0,0.00%
624020153,6,0,0,0,0.00%
624020155,6,1,0,0,0.00%
624020170,6,0,0,0,0.00%
624020210,6,1,0,0,0.00%
624020369,6,0,0,0,0.00%
624020479,6,0,0,0,0.00%
624020499,6,0,0,0,0.00%
624020552,6,0,1,0,16.67%
624030007,6,1,0,0,0.00%
624030016,6,1,0,0,0.00%
624030038,6,0,0,0,0.00%
624030072,6,0,4,0,66.67%
624030105,6,0,1,0,16.67%
624030159,6,0,0,0,0.00%
624030191,6,0,0,3,50.00%
624030271,6,0,0,0,0.00%
624030294,6,0,0,0,0.00%
624030295,6,0,0,0,0.00%
624030334,6,0,0,3,50.00%
624030362,6,0,0,0,0.00%
624030442,6,0,0,0,0.00%
624030533,6,0,0,0,0.00%
624030607,6,0,0,0,0.00%
624030608,6,1,0,0,0.00%
624030609,6,0,0,0,0.00%
624030671,6,0,0,0,0.00%
624030672,6,0,0,0,0.00%
624040011,6,0,0,3,50.00%
624040035,6,0,0,0,0.00%
624040238,6,1,0,0,0.00%
624040282,6,0,0,0,0.00%
624040283,6,0,0,0,0.00%
624040330,6,0,0,0,0.00%
624040331,6,0,0,0,0.00%
624040410,6,0,0,0,0.00%
624050151,6,0,0,0,0.00%
624050200,6,0,0,0,0.00%
624050450,6,1,0,0,0.00%
624050471,6,0,0,0,0.00%
624050492,6,1,0,0,0.00%
624060009,6,0,0,0,0.00%
624060028,6,0,0,0,0.00%
624060040,6,0,0,0,0.00%
624060058,2,0,0,0,0.00%
624060059,6,0,0,0,0.00%
624060087,6,0,0,0,0.00%
624060131,6,0,0,0,0.00%
624060132,6,0,0,0,0.00%
624060254,6,0,0,0,0.00%
624060316,6,0,0,0,0.00%
624060317,6,0,0,0,0.00%
624060318,6,0,0,0,0.00%
624060331,6,0,0,0,0.00%
624060384,6,0,0,0,0.00%
624070010,6,0,0,0,0.00%
624070011,6,0,0,0,0.00%
624070020,6,0,0,0,0.00%
624070060,6,0,0,0,0.00%
624070084,6,0,0,0,0.00%
624070192,6,0,0,0,0.00%
624070225,6,0,0,0,0.00%
624070226,6,1,0,0,0.00%
624070227,6,0,0,0,0.00%
624070231,6,0,0,0,0.00%
624070250,6,0,0,0,0.00%
624070252,6,0,1,0,16.67%
624070278,6,1,0,0,0.00%
624070310,6,0,0,0,0.00%
624070337,6,0,1,1,33.33%
624070338,6,0,0,0,0.00%
624070339,6,0,0,0,0.00%
624070393,6,0,0,0,0.00%
624070394,6,0,0,0,0.00%
624080015,6,0,0,0,0.00%
624080032,6,1,0,0,0.00%
624080082,6,0,0,0,0.00%
624080083,6,0,0,0,0.00%
624080125,6,0,0,0,0.00%
624080126,6,0,0,0,0.00%
624080127,6,0,0,0,0.00%
624080166,6,0,0,0,0.00%
624080199,6,0,0,0,0.00%
624080234,6,1,0,0,0.00%
624080235,6,0,0,0,0.00%
624080236,6,1,0,0,0.00%
624080310,6,0,0,0,0.00%
624080311,2,0,2,0,100.00%
624080340,6,0,0,0,0.00%
624080351,6,0,0,0,0.00%
624080352,6,0,0,0,0.00%
624080354,6,0,0,0,0.00%
624080417,6,0,1,0,16.67%
624080430,6,0,0,0,0.00%
624090012,6,0,0,0,0.00%
624090037,6,0,0,0,0.00%
624090048,6,0,0,0,0.00%
624090058,6,0,0,0,0.00%
624090059,6,0,0,0,0.00%
624090130,6,1,0,1,20.00%
624090131,6,0,0,0,0.00%
624090178,6,0,0,0,0.00%
624090210,6,0,0,1,16.67%
624090221,6,0,0,0,0.00%
624090222,6,0,0,0,0.00%
624090245,6,0,0,0,0.00%
624090271,6,0,0,0,0.00%
624090320,6,0,0,0,0.00%
624090321,6,0,1,0,16.67%
624090322,6,0,0,0,0.00%
624090323,6,0,0,0,0.00%
624090346,6,0,0,0,0.00%
624090373,6,0,0,0,0.00%
624090443,6,0,1,0,16.67%
624090444,6,0,0,0,0.00%
624090482,6,0,2,0,33.33%
624090502,6,0,0,0,0.00%
624090503,6,0,1,0,16.67%
624100015,6,0,0,0,0.00%
624100065,6,0,0,0,0.00%
624100171,6,0,0,0,0.00%
624100172,6,0,0,0,0.00%
624100200,6,1,0,0,0.00%
624100230,6,1,0,0,0.00%
624100308,6,0,0,0,0.00%
624100316,6,0,0,0,0.00%
624100345,6,2,0,0,0.00%
624100346,6,1,0,0,0.00%
624100379,6,1,0,0,0.00%
624100457,6,0,0,0,0.00%
624100460,6,0,0,0,0.00%
624110015,6,0,0,0,0.00%
624110084,6,0,0,0,0.00%
624110109,6,0,0,0,0.00%
624110158,6,0,0,0,0.00%
624110228,6,0,0,0,0.00%
624110274,6,0,0,0,0.00%
624110346,6,0,0,0,0.00%
624120070,6,0,0,0,0.00%
624120097,6,0,0,0,0.00%
624120130,6,0,0,1,16.67%
624120143,6,1,0,0,0.00%
624120144,6,0,0,0,0.00%
625010030,6,0,0,0,0.00%
625020005,6,0,1,0,16.67%
625020044,6,0,0,0,0.00%
625020092,6,0,0,0,0.00%
625020143,6,0,0,0,0.00%
625020179,6,0,0,0,0.00%
