Personnel No.,Total Working Days,Annual Leave Days,Unapproved Absence Days,Approved Absence Days,Absence Rate (%)
622060307,23,1,0,2,9.09%
622060369,23,2,0,0,0.00%
622070130,23,0,0,0,0.00%
622070133,23,0,0,0,0.00%
622070156,23,0,0,0,0.00%
622070194,23,0,0,0,0.00%
622070311,23,0,0,1,4.35%
622070337,23,0,0,1,4.35%
622070444,23,0,1,1,8.70%
622070476,23,0,0,0,0.00%
622070536,24,0,0,0,0.00%
622070609,23,1,0,1,4.55%
622070612,23,0,0,0,0.00%
622080022,5,0,5,0,100.00%
622080060,11,0,5,0,45.45%
622080106,23,0,0,0,0.00%
622080448,23,1,0,0,0.00%
622080450,23,1,0,0,0.00%
622080451,23,0,0,0,0.00%
622080452,23,0,0,0,0.00%
622080455,23,1,0,0,0.00%
622080458,23,0,0,1,4.35%
622090015,23,1,0,0,0.00%
622120016,23,0,0,0,0.00%
622120018,23,1,0,0,0.00%
623010008,23,0,0,2,8.70%
623020021,23,1,0,0,0.00%
623030007,23,0,0,1,4.35%
623030244,23,2,0,0,0.00%
623040186,23,1,0,0,0.00%
623040397,23,1,0,0,0.00%
623050008,23,0,0,1,4.35%
623050010,23,0,0,3,13.04%
623050027,23,1,0,1,4.55%
623060088,23,2,0,0,0.00%
623060090,23,1,0,0,0.00%
623060116,23,1,0,0,0.00%
623070012,23,0,0,1,4.35%
623080377,23,0,0,0,0.00%
623080378,23,1,0,0,0.00%
623080380,23,0,0,3,13.04%
623080417,23,0,0,0,0.00%
623080447,23,0,0,0,0.00%
623080455,23,0,0,0,0.00%
623080456,23,1,1,0,4.55%
623080475,23,1,0,0,0.00%
623090019,23,1,0,0,0.00%
623090021,23,1,0,0,0.00%
623090022,3,0,0,1,33.33%
623090032,23,0,0,0,0.00%
623090063,23,0,0,0,0.00%
623090111,23,0,0,0,0.00%
623090139,23,0,0,0,0.00%
623090163,23,1,0,0,0.00%
623090194,23,1,0,0,0.00%
623090198,23,0,0,0,0.00%
623090218,23,1,0,0,0.00%
623090224,23,1,0,0,0.00%
623090227,23,1,0,0,0.00%
623090280,23,1,0,0,0.00%
623090325,23,1,0,1,4.55%
623090362,23,0,0,0,0.00%
623100169,7,0,0,7,100.00%
623100170,23,0,0,0,0.00%
623100186,23,0,1,2,13.04%
623100187,23,1,0,0,0.00%
623100203,23,1,0,2,9.09%
623100204,21,1,0,0,0.00%
623100209,23,0,0,0,0.00%
623100210,23,0,0,5,21.74%
623100234,23,1,0,0,0.00%
623110084,23,1,0,3,13.64%
623110209,23,0,1,0,4.35%
623110211,23,0,0,0,0.00%
623110219,23,2,0,0,0.00%
623110220,23,0,0,2,8.70%
623110235,23,1,0,0,0.00%
623110250,23,2,0,1,4.76%
623120027,23,1,1,0,4.55%
